DIRECTORIO,SECUENCIA_PH,SECUENCIA_P,SECUENCIA_ENCUESTA,TIPO,P3077,P3078,P3079,P3080,P3081,P3082,P3083,P3084,P2990,P3085,P3099,CLASE_TE,COD_DEPTO,AREA,F_EXP
7280676,1,1,2,1,1,1,1300606,1,237800,1,650000,1,1,10,35,1,73,73,21.4866542642867
7280676,1,1,4,1,1,1,2500000,1,320000,1,750000,1,1,24,30,1,73,73,21.4866542642867
7280676,1,1,3,1,1,2,1300606,1,237800,1,650000,1,1,24,30,1,73,73,21.4866542642867
7280676,1,1,1,3,,1,,1,330000,,,1,1,96,34,1,73,73,21.4866542642867
7280676,1,1,7,1,2,1,4000000,2,,2,,2,2,1,36,1,73,73,21.4866542642867
7280676,1,1,1,1,1,1,1300606,1,237800,2,,1,1,2,25,1,73,73,21.4866542642867
7280753,1,1,1,2,,2,,2,,,,2,2,36,47,1,76,76,71.9692533658355
7280757,1,1,1,1,2,1,850000,2,,2,,2,2,24,32,1,76,76,139.966432097831
7280765,1,1,1,2,,1,,2,,,,2,2,60,25,1,76,76,98.535798953447
7280765,1,1,1,3,,1,,2,,,,2,2,60,20,1,76,76,98.535798953447
7280765,1,1,3,2,,2,,2,,,,2,2,60,22,1,76,76,98.535798953447
7280765,1,1,2,2,,1,,2,,,,2,2,60,30,1,76,76,98.535798953447
7280812,1,1,1,3,,2,,2,,,,2,2,36,45,1,76,76,93.8414370898598
7281083,1,2,3,1,2,1,360000,2,,2,,2,2,11,25,1,88,88,2.84012605910578
7281083,1,2,1,1,2,1,360000,2,,2,,2,2,5,22,1,88,88,2.84012605910578
7281083,1,2,2,1,2,1,360000,2,,2,,2,2,6,24,1,88,88,2.84012605910578
7281089,1,1,1,2,,1,,2,,,,2,2,96,68,1,88,88,2.3813248362993
7281115,1,1,1,1,2,1,800000,2,,2,,2,2,120,40,1,88,88,3.92610561215835
7281128,1,1,1,3,,2,,2,,,,2,2,240,45,1,88,88,5.07165367697462
7281132,1,1,1,1,2,1,360000,2,,2,,2,2,6,26,1,88,88,3.214409755021
7281132,1,1,2,1,2,1,480000,2,,2,,2,2,12,30,1,88,88,3.214409755021
7281301,1,1,1,3,,2,,2,,,,2,2,216,66,1,68,"",59.8402635126801
7281310,1,3,1,2,,1,,2,,,,2,2,148,33,2,68,"",153.422267556305
7281313,1,2,1,2,,2,,2,,,,2,2,14,37,2,68,"",156.858709618997
7281320,1,1,1,1,2,1,400000,2,,2,,2,2,8,42,2,68,"",188.79504579798
7281320,1,1,1,3,,2,,2,,,,2,2,60,45,2,68,"",188.79504579798
7281324,1,3,1,1,2,2,160000,2,,2,,2,2,8,21,1,68,"",47.2553583896528
7281334,1,1,1,3,,2,,2,,,,2,2,244,53,2,68,"",140.663211323015
7281337,1,1,1,1,2,1,450000,2,,2,,2,2,24,35,2,68,"",142.936614874253
7281337,1,1,1,3,,2,,2,,,,2,2,240,54,2,68,"",142.936614874253
7281377,1,2,1,1,2,2,1200000,2,,2,,2,2,12,65,2,54,"",26.7678169834632
7281383,1,1,1,3,,2,,2,,,,2,2,24,54,2,54,"",20.1813652491884
